,metric,reporter,count,sample
295,total,GFP_BAR_DSBR_2,34822,U2OS_XPG_4h_BR2
296,unrepaired,GFP_BAR_DSBR_2,0,U2OS_XPG_4h_BR2
297,A,GFP_BAR_003,0,TK6_PolQ_4h_BR2
298,C,GFP_BAR_003,6697,TK6_PolQ_4h_BR2
299,G,GFP_BAR_003,576,TK6_PolQ_4h_BR2
300,T,GFP_BAR_003,0,TK6_PolQ_4h_BR2
301,del,GFP_BAR_003,0,TK6_PolQ_4h_BR2
302,del_mh,GFP_BAR_003,0,TK6_PolQ_4h_BR2
303,del_nomh,GFP_BAR_003,0,TK6_PolQ_4h_BR2
304,ins,GFP_BAR_003,0,TK6_PolQ_4h_BR2
305,repaired,GFP_BAR_003,576,TK6_PolQ_4h_BR2
306,total,GFP_BAR_003,7273,TK6_PolQ_4h_BR2
307,unrepaired,GFP_BAR_003,6697,TK6_PolQ_4h_BR2
308,A,GFP_BAR_004,0,TK6_PolQ_4h_BR2
309,C,GFP_BAR_004,0,TK6_PolQ_4h_BR2
310,G,GFP_BAR_004,0,TK6_PolQ_4h_BR2
311,T,GFP_BAR_004,0,TK6_PolQ_4h_BR2
312,del,GFP_BAR_004,0,TK6_PolQ_4h_BR2
313,del_mh,GFP_BAR_004,0,TK6_PolQ_4h_BR2
314,del_nomh,GFP_BAR_004,0,TK6_PolQ_4h_BR2
315,ins,GFP_BAR_004,0,TK6_PolQ_4h_BR2
316,repaired,GFP_BAR_004,0,TK6_PolQ_4h_BR2
317,total,GFP_BAR_004,693,TK6_PolQ_4h_BR2
318,unrepaired,GFP_BAR_004,0,TK6_PolQ_4h_BR2
319,A,GFP_BAR_005,7,TK6_PolQ_4h_BR2
320,C,GFP_BAR_005,1810,TK6_PolQ_4h_BR2
321,G,GFP_BAR_005,5,TK6_PolQ_4h_BR2
322,T,GFP_BAR_005,9944,TK6_PolQ_4h_BR2
323,del,GFP_BAR_005,7,TK6_PolQ_4h_BR2
324,del_mh,GFP_BAR_005,0,TK6_PolQ_4h_BR2
325,del_nomh,GFP_BAR_005,7,TK6_PolQ_4h_BR2
326,ins,GFP_BAR_005,0,TK6_PolQ_4h_BR2
327,repaired,GFP_BAR_005,1810,TK6_PolQ_4h_BR2
328,total,GFP_BAR_005,11773,TK6_PolQ_4h_BR2
329,unrepaired,GFP_BAR_005,9944,TK6_PolQ_4h_BR2
330,A,GFP_BAR_006,632,TK6_PolQ_4h_BR2
331,C,GFP_BAR_006,11563,TK6_PolQ_4h_BR2
332,G,GFP_BAR_006,4,TK6_PolQ_4h_BR2
333,T,GFP_BAR_006,39,TK6_PolQ_4h_BR2
334,del,GFP_BAR_006,39,TK6_PolQ_4h_BR2
335,del_mh,GFP_BAR_006,2,TK6_PolQ_4h_BR2
336,del_nomh,GFP_BAR_006,37,TK6_PolQ_4h_BR2
337,ins,GFP_BAR_006,0,TK6_PolQ_4h_BR2
338,repaired,GFP_BAR_006,11563,TK6_PolQ_4h_BR2
339,total,GFP_BAR_006,12277,TK6_PolQ_4h_BR2
340,unrepaired,GFP_BAR_006,632,TK6_PolQ_4h_BR2
341,A,GFP_BAR_007,24,TK6_PolQ_4h_BR2
342,C,GFP_BAR_007,18,TK6_PolQ_4h_BR2
343,G,GFP_BAR_007,10084,TK6_PolQ_4h_BR2
344,T,GFP_BAR_007,1697,TK6_PolQ_4h_BR2
345,del,GFP_BAR_007,318,TK6_PolQ_4h_BR2
346,del_mh,GFP_BAR_007,0,TK6_PolQ_4h_BR2
347,del_nomh,GFP_BAR_007,318,TK6_PolQ_4h_BR2
348,ins,GFP_BAR_007,0,TK6_PolQ_4h_BR2
349,repaired,GFP_BAR_007,10084,TK6_PolQ_4h_BR2
350,total,GFP_BAR_007,12141,TK6_PolQ_4h_BR2
351,unrepaired,GFP_BAR_007,1697,TK6_PolQ_4h_BR2
352,A,GFP_BAR_008,111,TK6_PolQ_4h_BR2
353,C,GFP_BAR_008,0,TK6_PolQ_4h_BR2
354,G,GFP_BAR_008,14413,TK6_PolQ_4h_BR2
355,T,GFP_BAR_008,3,TK6_PolQ_4h_BR2
356,del,GFP_BAR_008,11,TK6_PolQ_4h_BR2
357,del_mh,GFP_BAR_008,1,TK6_PolQ_4h_BR2
358,del_nomh,GFP_BAR_008,10,TK6_PolQ_4h_BR2
359,ins,GFP_BAR_008,2,TK6_PolQ_4h_BR2
360,repaired,GFP_BAR_008,14413,TK6_PolQ_4h_BR2
361,total,GFP_BAR_008,14538,TK6_PolQ_4h_BR2
362,unrepaired,GFP_BAR_008,111,TK6_PolQ_4h_BR2
363,A,GFP_BAR_009,8,TK6_PolQ_4h_BR2
364,C,GFP_BAR_009,3538,TK6_PolQ_4h_BR2
365,G,GFP_BAR_009,54,TK6_PolQ_4h_BR2
366,T,GFP_BAR_009,11644,TK6_PolQ_4h_BR2
367,del,GFP_BAR_009,148,TK6_PolQ_4h_BR2
368,del_mh,GFP_BAR_009,2,TK6_PolQ_4h_BR2
369,del_nomh,GFP_BAR_009,146,TK6_PolQ_4h_BR2
370,ins,GFP_BAR_009,0,TK6_PolQ_4h_BR2
371,repaired,GFP_BAR_009,11644,TK6_PolQ_4h_BR2
372,total,GFP_BAR_009,15392,TK6_PolQ_4h_BR2
373,unrepaired,GFP_BAR_009,3538,TK6_PolQ_4h_BR2
374,A,GFP_BAR_010,0,TK6_PolQ_4h_BR2
375,C,GFP_BAR_010,0,TK6_PolQ_4h_BR2
376,G,GFP_BAR_010,0,TK6_PolQ_4h_BR2
