,label,pathway,N cells,mean_repair,ci95_low,ci95_high
276,CHLA06ATRT,BER_UG,20,0.9851649693255752,0.974209024543073,0.9940064419013069
277,CHLA06ATRT,BER_UG,30,0.9853772379957249,0.9757069268033521,0.9929271206484487
278,CHLA06ATRT,BER_UG,100,0.9851646610021239,0.9803188025021078,0.9894519798171825
279,CHLA06ATRT,BER_UG,500,0.9851653549777604,0.9831001321306944,0.9870817173873137
280,CHLA06ATRT,DR_O6MeG,1,0.9446863123474621,0.7837837837837838,0.9894941236586612
281,CHLA06ATRT,DR_O6MeG,2,0.9450767295182634,0.8453643746980363,0.982646663974461
282,CHLA06ATRT,DR_O6MeG,3,0.9409695211007008,0.8300820648234442,0.9765590575522837
283,CHLA06ATRT,DR_O6MeG,4,0.9400635964894644,0.7891054530796168,0.9736660489620983
284,CHLA06ATRT,DR_O6MeG,5,0.9417552158693971,0.8205307240002792,0.9738210315909888
285,CHLA06ATRT,DR_O6MeG,10,0.9421796195175657,0.8858484214010007,0.9664985386430415
286,CHLA06ATRT,DR_O6MeG,20,0.9418389940735374,0.8983932424971673,0.9624450704549528
287,CHLA06ATRT,DR_O6MeG,30,0.9426905213268982,0.9082419360177311,0.959126832330146
288,CHLA06ATRT,DR_O6MeG,100,0.9425141893229744,0.9279693417220884,0.9535054022885869
289,CHLA06ATRT,DR_O6MeG,500,0.9421580111504904,0.9359636782971106,0.9473886452219766
290,CHLA06ATRT,MMR,1,0.12156765075308831,0.0,0.4107142857142857
291,CHLA06ATRT,MMR,2,0.12464258831669356,0.018875944468049733,0.30229402630617463
292,CHLA06ATRT,MMR,3,0.12450585802374432,0.02875126519420238,0.2775039801847415
293,CHLA06ATRT,MMR,4,0.1279570415007843,0.042304478295266026,0.2472491990296467
294,CHLA06ATRT,MMR,5,0.1243486514356314,0.04566833291445239,0.23605565985697993
295,CHLA06ATRT,MMR,10,0.12502212562992152,0.06499565775371303,0.19879335066864082
296,CHLA06ATRT,MMR,20,0.12358720580500952,0.08141934314838951,0.17204041023116248
297,CHLA06ATRT,MMR,30,0.12576535985803622,0.08957587577023851,0.16820286574848375
298,CHLA06ATRT,MMR,100,0.12534027957575994,0.104847646732978,0.1470552713918015
299,CHLA06ATRT,MMR,500,0.12531389066672918,0.11569095948181529,0.13488059573140834
